Nom;ISIN;Ticker;Devise;Capitalisation (LC Mds);Pays;Secteur;Industrie;Responsable;ESG_RATING;Rating ESG SG;OVERALL_FLAG;SG;JP;ODDO;SG;JP;ODDO;Couverture ;DJ 30;S&P 500;STOXX 600;SBF 120;CAC 40;CAC PME
RECORDATI SPA;IT0003828271;REC IM EQUITY;EUR;11,34;ITALY;Soins de santé;Sciences pharmaceutiques, biot;Thomas;BBB;NR;Green;NOT RATED;NEUTRAL;UNDERPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
RED ELECTRICA;ES0173093024;REE SM EQUITY;EUR;9,23;SPAIN;Services aux collectivités;Services aux collectivités;Sophie;AAA;80,6;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
RELX PLC;GB00B2B0DG97;REL LN EQUITY;GBp;4124,77;BRITAIN;Industrie;Services commerciaux et profes;Yann;AAA;65,01;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
REMY COINTREAU;FR0000130395;RCO FP EQUITY;EUR;9,31;FRANCE;Consommation de base;Produits alimentaires, boisson;Sophie;A;64,48;Green;SELL;NEUTRAL;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
RENAULT SA;FR0000131906;RNO FP EQUITY;EUR;9,98;FRANCE;Consommation discrétionnaire;Automobiles et composants auto;Yann;BBB;66,25;Orange;HOLD;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
REPSOL SA;ES0173516115;REP SM EQUITY;EUR;14,41;SPAIN;Energie;Energie;Louis;AA;81,21;Yellow;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
REXEL SA;FR0010451203;RXL FP EQUITY;EUR;5,44;FRANCE;Industrie;Biens d'investissement;Yann;AA;75,07;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
RIO TINTO PLC;GB0007188757;RIO LN EQUITY;GBp;10077,44;BRITAIN;Matériaux;Matériaux;Jeremy;A;72,33;Orange;BUY;OVERWEIGHT;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ROCHE HLDG-GENUS;CH0012032048;ROG SW EQUITY;CHF;314,81;SWITZERLAND;Soins de santé;Sciences pharmaceutiques, biot;Thomas;A;64,78;Orange;HOLD;NEUTRAL;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ROLLS-ROYCE HOLD;GB00B63H8491;RR/ LN EQUITY;GBp;929,14;BRITAIN;Industrie;Biens d'investissement;Yann;BB;73,91;Yellow;SELL;NEUTRAL;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
NATWEST GROUP PL;GB00B7T77214;NWG LN EQUITY;GBp;2491,41;BRITAIN;Finance;Banques;Chantal;AA;56,18;Yellow;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
ROYAL MAIL;GB00BDVZYZ77;RMG LN EQUITY;GBp;492,80;BRITAIN;Industrie;Transport;Thomas;AA;67,41;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
SACYR SA;ES0182870214;SCYR SM EQUITY;EUR;1,30;SPAIN;Industrie;Biens d'investissement;Yann;BBB;NR;Green;BUY;NOT RATED;NOT RATED;OUI;NON;NON;OUI;NON;NON;NON;NON;NON;NON
SAFRAN SA;FR0000073272;SAF FP EQUITY;EUR;47,33;FRANCE;Industrie;Biens d'investissement;Yann;A;62,17;Green;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
SAGE GROUP;GB00B8C3BL03;SGE LN EQUITY;GBp;761,00;BRITAIN;Technologies de l'information;Logiciels et services;Moad;AA;45,52;Green;SELL;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
SAINSBURY PLC;GB00B019KW72;SBRY LN EQUITY;GBp;678,97;BRITAIN;Consommation de base;Vente au détail de produits a;Sophie;AAA;72,76;Green;HOLD;UNDERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
SALESFORCE.COM;US79466L3024;CRM US EQUITY;USD;232,05;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;AA;60,17;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;OUI;OUI;NON;NON;NON;NON
WEBUILD SPA;IT0003865570;WBD IM EQUITY;EUR;2,22;ITALY;Industrie;Biens d'investissement;Yann;A;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
SANDVIK AB;SE0000667891;SAND SS EQUITY;SEK;278,35;SWEDEN;Industrie;Biens d'investissement;Yann;AA;86,83;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SANOFI;FR0000120578;SAN FP EQUITY;EUR;108,98;FRANCE;Soins de santé;Sciences pharmaceutiques, biot;Thomas;BBB;74,91;Orange;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
SANTANDER BANK;PLBZ00000044;SPL PW EQUITY;PLN;27,55;POLAND;Finance;Banques;Chantal;A;69,21;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;NON;NON;NON;NON
SAP SE;DE0007164600;SAP GR EQUITY;EUR;152,33;GERMANY;Technologies de l'information;Logiciels et services;Moad;AAA;71,03;Yellow;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SARAS SPA;IT0000433307;SRS IM EQUITY;EUR;0,62;ITALY;Energie;Energie;Louis;BBB;NR;Green;NOT RATED;NOT RATED;NOT RATED;NON;NON;NON;NON;NON;NON;NON;NON;NON;NON
SARTORIUS STEDIM;FR0013154002;DIM FP EQUITY;EUR;44,61;FRANCE;Soins de santé;Sciences pharmaceutiques, biot;Thomas;BBB;56,11;Green;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
SBERBANK;RU0009029540;SBER RM EQUITY;RUB;7017,70;RUSSIA;Finance;Banques;Chantal;BB;56,59;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
SCHAEFFLER-PREF;DE000SHA0159;SHA GR EQUITY;EUR;4,98;GERMANY;Consommation discrétionnaire;Automobiles et composants auto;Yann;BBB;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
SCHINDLER HLD-PC;CH0024638196;SCHP SW EQUITY;CHF;31,35;SWITZERLAND;Industrie;Biens d'investissement;Yann;BB;NR;Green;HOLD;NEUTRAL;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SCHNEIDER ELECTR;FR0000121972;SU FP EQUITY;EUR;83,93;FRANCE;Industrie;Biens d'investissement;Yann;AAA;91;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
SCHOELLER-BLECKM;AT0000946652;SBO AV EQUITY;EUR;0,50;AUSTRIA;Energie;Energie;Louis;A;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
SCHRODERS PLC;GB0002405495;SDR LN EQUITY;GBp;989,07;BRITAIN;Finance;Services financiers diversifi;Chantal;AAA;NR;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
SCOR SE;FR0010411983;SCR FP EQUITY;EUR;4,49;FRANCE;Finance;Assurance;Chantal;BBB;70;Green;HOLD;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
SCOUT24 AG;DE000A12DM80;G24 GR EQUITY;EUR;6,68;GERMANY;Services de communication;Médias et divertissement;Cédric;BBB;NR;Green;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SEB SA;FR0000121709;SK FP EQUITY;EUR;7,56;FRANCE;Consommation discrétionnaire;Biens de consommation durables;Bruno;A;75,94;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
SES;LU0088087324;SESG FP EQUITY;EUR;3,11;LUXEMBOURG;Services de communication;Médias et divertissement;Cédric;A;38,74;Green;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
SEVERN TRENT;GB00B1FH8J72;SVT LN EQUITY;GBp;699,60;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;A;NR;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
SGS SA-REG;CH0002497458;SGSN SW EQUITY;CHF;21,79;SWITZERLAND;Industrie;Services commerciaux et profes;Yann;AAA;72,89;Green;HOLD;RATING SUSPENDED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
SIEMENS AG-REG;DE0007236101;SIE GR EQUITY;EUR;118,47;GERMANY;Industrie;Biens d'investissement;Yann;AA;84,27;Orange;HOLD;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SIEMENS GAMESA R;ES0143416115;SGRE SM EQUITY;EUR;16,91;SPAIN;Industrie;Biens d'investissement;Yann;A;73,05;Orange;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SIGNIFY NV;NL0011821392;LIGHT NA EQUITY;EUR;6,07;NETHERLANDS;Industrie;Biens d'investissement;Yann;AA;87,98;Green;BUY;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SIKA AG-REG;CH0418792922;SIKA SW EQUITY;CHF;45,92;SWITZERLAND;Matériaux;Matériaux;Jeremy;A;NR;Green;HOLD;NOT RATED;NOT RATED;OUI;NON;NON;OUI;NON;NON;OUI;NON;NON;NON
SIXT SE;DE0007231326;SIX2 GR EQUITY;EUR;4,62;GERMANY;Industrie;Transport;Thomas;A;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
SEB AB-A;SE0000148884;SEBA SS EQUITY;SEK;259,68;SWEDEN;Finance;Banques;Chantal;AA;78,35;Yellow;BUY;UNDERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
SKF AB- B SHARES;SE0000108227;SKFB SS EQUITY;SEK;101,41;SWEDEN;Industrie;Biens d'investissement;Yann;AA;80,42;Green;SELL;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
SMITHS GRP PLC;GB00B1WY2338;SMIN LN EQUITY;GBp;572,76;BRITAIN;Industrie;Biens d'investissement;Yann;AA;57,62;Yellow;HOLD;RATING SUSPENDED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
SNAM SPA;IT0003153415;SRG IM EQUITY;EUR;17,25;ITALY;Services aux collectivités;Services aux collectivités;Sophie;AA;NR;Green;BUY;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
SODEXO SA;FR0000121220;SW FP EQUITY;EUR;10,65;FRANCE;Consommation discrétionnaire;Services consommateurs;Bruno;BBB;56,48;Yellow;HOLD;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
SOLVAY SA-A;BE0003470755;SOLB BB EQUITY;EUR;12,18;BELGIUM;Matériaux;Matériaux;Jeremy;AA;69,8;Green;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
SOPRA STERIA GRO;FR0000050809;SOP FP EQUITY;EUR;3,48;FRANCE;Technologies de l'information;Logiciels et services;Moad;AA;55,83;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
SPIE SA;FR0012757854;SPIE FP EQUITY;EUR;3,17;FRANCE;Industrie;Services commerciaux et profes;Yann;A;60,63;Green;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
SQUARE INC - A;US8522341036;SQ US EQUITY;USD;126,46;UNITED STATES;Technologies de l'information;Logiciels et services;Moad;A;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
SSAB-A;SE0000171100;SSABA SS EQUITY;SEK;46,94;SWEDEN;Matériaux;Matériaux;Jeremy;A;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
SSE PLC;GB0007908733;SSE LN EQUITY;GBp;1667,64;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;AAA;65,45;Yellow;BUY;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
STANDARD CHARTER;GB0004082847;STAN LN EQUITY;GBp;1441,80;BRITAIN;Finance;Banques;Chantal;AA;NR;Orange;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
STMICROELECTRONI;NL0000226223;STM FP EQUITY;EUR;33,31;SWITZERLAND;Technologies de l'information;Semi-conducteurs et équipemen;Louis;AA;NR;Green;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
SVENSKA HAN-A;SE0007100599;SHBA SS EQUITY;SEK;195,96;SWEDEN;Finance;Banques;Chantal;AA;81,09;Green;HOLD;UNDERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SWATCH GROUP-BR;CH0012255151;UHR SW EQUITY;CHF;15,59;SWITZERLAND;Consommation discrétionnaire;Biens de consommation durables;Bruno;BB;41,82;Green;HOLD;RATING SUSPENDED;UNDERPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
SWISS RE AG;CH0126881561;SREN SW EQUITY;CHF;26,87;SWITZERLAND;Finance;Assurance;Chantal;AAA;73,75;Green;HOLD;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SWISSCOM AG-REG;CH0008742519;SCMN SW EQUITY;CHF;28,35;SWITZERLAND;Services de communication;Services de télécommunicatio;Cédric;AA;74,93;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
SYMRISE AG;DE000SYM9999;SY1 GR EQUITY;EUR;17,00;GERMANY;Matériaux;Matériaux;Jeremy;A;80,27;Green;SELL;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
TAG IMMOBILIEN;DE0008303504;TEG GR EQUITY;EUR;4,19;GERMANY;Immobilier;Immobilier;Jeremy;A;NR;Green;HOLD;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
JUST EAT TAKEAWA;NL0012015705;TKWY NA EQUITY;EUR;16,10;NETHERLANDS;Consommation discrétionnaire;Vente au détail;Bruno;BBB;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
TECHNIPFMC PLC;GB00BDSFG982;FTI US EQUITY;USD;3,16;BRITAIN;Energie;Energie;Louis;AA;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
TECNICAS REUNIDA;ES0178165017;TRE SM EQUITY;EUR;0,40;SPAIN;Energie;Energie;Louis;A;NR;Green;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
TELE2 AB-B SHS;SE0005190238;TEL2B SS EQUITY;SEK;86,88;SWEDEN;Services de communication;Services de télécommunicatio;Cédric;AAA;58,67;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
TELECOM ITALIA S;IT0003497168;TIT IM EQUITY;EUR;8,28;ITALY;Services de communication;Services de télécommunicatio;Cédric;BBB;NR;Yellow;HOLD;NEUTRAL;BUY;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
TELEFONICA DEUTS;DE000A1J5RX9;O2D GR EQUITY;EUR;6,81;GERMANY;Services de communication;Services de télécommunicatio;Cédric;AA;NR;Green;HOLD;OVERWEIGHT;REDUCE;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
TELEFONICA;ES0178430E18;TEF SM EQUITY;EUR;23,09;SPAIN;Services de communication;Services de télécommunicatio;Cédric;BBB;NR;Yellow;HOLD;UNDERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
TELENOR ASA;NO0010063308;TEL NO EQUITY;NOK;216,22;NORWAY;Services de communication;Services de télécommunicatio;Cédric;AAA;63,93;Yellow;HOLD;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
TELEPERFORMANCE;FR0000051807;TEP FP EQUITY;EUR;21,11;FRANCE;Industrie;Services commerciaux et profes;Yann;AAA;64,58;Orange;BUY;RATING SUSPENDED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
TELIA CO AB;SE0000667925;TELIA SS EQUITY;SEK;153,30;SWEDEN;Services de communication;Services de télécommunicatio;Cédric;AAA;NR;Green;SELL;UNDERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
TENARIS SA;LU0156801721;TEN IM EQUITY;EUR;10,28;LUXEMBOURG;Energie;Energie;Louis;BB;NR;Green;NOT RATED;NOT RATED;UNDERPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
TERNA-RETE ELETT;IT0003242622;TRN IM EQUITY;EUR;13,76;ITALY;Services aux collectivités;Services aux collectivités;Sophie;AA;85;Green;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
THYSSENKRUPP AG;DE0007500001;TKA GR EQUITY;EUR;5,46;GERMANY;Matériaux;Matériaux;Jeremy;AA;NR;Orange;BUY;RATING SUSPENDED;NOT RATED;OUI;NON;NON;OUI;NON;NON;OUI;NON;NON;NON
TIETOEVRY OYJ;FI0009000277;TIETO FH EQUITY;EUR;3,47;FINLAND;Technologies de l'information;Logiciels et services;Moad;A;NR;Green;NOT RATED;NOT RATED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
T-MOBILE US INC;US8725901040;TMUS US EQUITY;USD;177,50;UNITED STATES;Services de communication;Services de télécommunicatio;Cédric;BB;47,86;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;OUI;NON;NON;NON;NON
TOTALENERGIES SE;FR0000120271;TTE FP EQUITY;EUR;99,28;FRANCE;Energie;Energie;Louis;A;85,56;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
TUI AG-DI;DE000TUAG000;TUI1 GR EQUITY;EUR;4,25;GERMANY;Consommation discrétionnaire;Services consommateurs;Bruno;BB;NR;Yellow;NOT RATED;NOT RATED;UNDERPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
GARANTI;TRAGARAN91N1;GARAN TI EQUITY;TRY;39,06;TURKEY;Finance;Banques;Chantal;BBB;64,83;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;NON;NON;NON;NON
HALKBANK;TRETHAL00019;HALKB TI EQUITY;TRY;11,58;TURKEY;Finance;Banques;Chantal;BB;59,65;Green;SELL;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;NON;NON;NON;NON
IS BANKASI;TRAISCTR91N2;ISCTR TI EQUITY;TRY;25,79;TURKEY;Finance;Banques;Chantal;BBB;63,34;Green;HOLD;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
VAKIBANK;TREVKFB00019;VAKBN TI EQUITY;TRY;13,86;TURKEY;Finance;Banques;Chantal;BBB;60,69;Green;HOLD;NEUTRAL;NOT RATED;OUI;OUI;NON;OUI;NON;NON;NON;NON;NON;NON
UBI BANCA SPA;IT0003487029;UBI IM EQUITY;EUR;-;ITALY;Finance;Banques;Chantal;A;NR;NR;BUY;RATING SUSPENDED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
UBISOFT ENTERTAI;FR0000054470;UBI FP EQUITY;EUR;6,19;FRANCE;Services de communication;Médias et divertissement;Cédric;BBB;NR;Green;HOLD;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
UBS GROUP AG;CH0244767585;UBSG SW EQUITY;CHF;57,07;SWITZERLAND;Finance;Services financiers diversifi;Chantal;AA;72,94;Orange;BUY;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
UCB SA;BE0003739530;UCB BB EQUITY;EUR;18,42;BELGIUM;Soins de santé;Sciences pharmaceutiques, biot;Thomas;A;NR;Yellow;BUY;NEUTRAL;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
UMICORE;BE0974320526;UMI BB EQUITY;EUR;13,94;BELGIUM;Matériaux;Matériaux;Jeremy;AAA;NR;Green;NOT RATED;UNDERWEIGHT;UNDERPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
UNICAJA BANCO SA;ES0180907000;UNI SM EQUITY;EUR;2,02;SPAIN;Finance;Banques;Chantal;A;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
UNICREDIT SPA;IT0005239360;UCG IM EQUITY;EUR;23,28;ITALY;Finance;Banques;Chantal;A;59,12;Orange;HOLD;NEUTRAL;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
UNILEVER PLC;GB00B10RZP78;ULVR LN EQUITY;GBp;10632,39;BRITAIN;Consommation de base;Produits domestiques et de soi;Sophie;A;NR;Orange;SELL;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
UNIPER SE;DE000UNSE018;UN01 GR EQUITY;EUR;12,21;GERMANY;Services aux collectivités;Services aux collectivités;Sophie;BB;68,77;Yellow;HOLD;OVERWEIGHT;NEUTRAL;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
UNIPOL GRUPPO SP;IT0004810054;UNI IM EQUITY;EUR;3,40;ITALY;Finance;Assurance;Chantal;A;NR;Yellow;BUY;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
UNIPOLSAI SPA;IT0004827447;US IM EQUITY;EUR;6,81;ITALY;Finance;Assurance;Chantal;A;NR;Yellow;HOLD;NOT RATED;NOT RATED;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
UNITED INTERN-RE;DE0005089031;UTDI GR EQUITY;EUR;6,87;GERMANY;Services de communication;Services de télécommunicatio;Cédric;BB;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
UNITED UTILITIES;GB00B39J2M42;UU/ LN EQUITY;GBp;726,55;BRITAIN;Services aux collectivités;Services aux collectivités;Sophie;AA;NR;Green;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
VALEO;FR0013176526;FR FP EQUITY;EUR;6,06;FRANCE;Consommation discrétionnaire;Automobiles et composants auto;Yann;AAA;79,22;Green;HOLD;OVERWEIGHT;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;NON;NON
VEOLIA ENVIRONNE;FR0000124141;VIE FP EQUITY;EUR;15,93;FRANCE;Services aux collectivités;Services aux collectivités;Sophie;A;65,13;Green;NOT RATED;RATING SUSPENDED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
VERBUND AG;AT0000746409;VER AV EQUITY;EUR;28,05;AUSTRIA;Services aux collectivités;Services aux collectivités;Sophie;AA;86,11;Green;SELL;NOT RATED;UNDERPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
VESTAS WIND SYST;DK0010268606;VWS DC EQUITY;DKK;253,07;DENMARK;Industrie;Biens d'investissement;Yann;AAA;NR;NR;BUY;NEUTRAL;NOT RATED;OUI;OUI;OUI;OUI;NON;NON;NON;NON;NON;NON
VICAT;FR0000031775;VCT FP EQUITY;EUR;1,91;FRANCE;Matériaux;Matériaux;Jeremy;BBB;61,72;Green;HOLD;NOT RATED;NEUTRAL;OUI;NON;OUI;OUI;NON;NON;NON;NON;NON;NON
VINCI SA;FR0000125486;DG FP EQUITY;EUR;53,79;FRANCE;Industrie;Biens d'investissement;Yann;A;62,19;Orange;NOT RATED;OVERWEIGHT;OUTPERFORM;NON;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
VIVENDI;FR0000127771;VIV FP EQUITY;EUR;32,75;FRANCE;Services de communication;Médias et divertissement;Cédric;AA;52,17;Yellow;BUY;OVERWEIGHT;OUTPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;OUI;OUI;NON
VODAFONE GROUP;GB00BH4HKS39;VOD LN EQUITY;GBp;3276,27;BRITAIN;Services de communication;Services de télécommunicatio;Cédric;AA;60;Yellow;SELL;OVERWEIGHT;REDUCE;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
VOESTALPINE AG;AT0000937503;VOE AV EQUITY;EUR;6,93;AUSTRIA;Matériaux;Matériaux;Jeremy;AA;NR;Green;BUY;UNDERWEIGHT;UNDERPERFORM;OUI;OUI;OUI;OUI;NON;NON;OUI;NON;NON;NON
VOLVO AB-B;SE0000115446;VOLVB SS EQUITY;SEK;409,91;SWEDEN;Industrie;Biens d'investissement;Yann;AA;84,98;Yellow;BUY;OVERWEIGHT;NOT RATED;OUI;OUI;NON;OUI;NON;NON;OUI;NON;NON;NON
VONOVIA SE;DE000A1ML7J1;VNA GR EQUITY;EUR;33,76;GERMANY;Immobilier;Immobilier;Jeremy;A;NR;Green;NOT RATED;RATING SUSPENDED;OUTPERFORM;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
VOPAK;NL0009432491;VPK NA EQUITY;EUR;4,48;NETHERLANDS;Energie;Energie;Louis;AAA;NR;Green;NOT RATED;NOT RATED;NEUTRAL;NON;NON;OUI;OUI;NON;NON;OUI;NON;NON;NON
WENDEL;FR0000121204;MF FP EQUITY;EUR;5,44;FRANCE;Finance;Services financiers diversifi;Chantal;AA;NR;Green;BUY;NOT RATED;OUTPERFORM;OUI;NON;OUI;OUI;NON;NON;OUI;OUI;NON;NON
